movie_id,name,video,genre_id,language_id,actors,description,director,is_banner,movieDuration,ratedfor,releasedAt,image
58,Spider-Man 7,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",1,1,"Tobey Maguire, Kirsten Dunst, Willem Dafoe","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sam Raimi,0,2h 1m,13,2002,images/Spider-Man/spiderman.jpg
59,The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",1,1,"Andrew Garfield, Emma Stone, Rhys Ifans","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Marc Webba,0,2h 16m,13,2012,images/The Amazing Spider-Man/amazing2.jpg
60,The Amazing Spider-Man 2,https://www.youtube.com/watch?v=nbp3Ra3Yp74&ab_channel=SonyPicturesEntertainment,1,1,"Andrew Garfield, Emma Stone, Jamie Foxx","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb,0,2h 22m,13,2014,images/The Amazing Spider-Man 2/amazing1.jpg
61,Spider-Man: Far from Home,https://www.youtube.com/watch?v=Nt9L1jCKGnE&ab_channel=SonyPicturesEntertainment,1,1,"Tom Holland, Zendaya, Martin Starr,",undefined,Jon Watts,0,2h 9m,13,2019,images/Spider-Man: Far from Home/farfrom.jpg
62,Kabaddi,https://www.youtube.com/watch?v=fCfhY0E4GRo&ab_channel=OSRDigital,2,2,"Dayahang Rai, Nischal Basnet, Rishma Gurung","Kazi a young aimless man dreams of marrying Maiya, a village girl by any means although she wants to go to the city for higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city.",Ram Babu Gurung,0,2h 3m,15,2014,images/Kabaddi/kaba.jpg
63,Raatchasan,https://www.youtube.com/watch?v=ZkJr6EVkBaU&ab_channel=SaregamaTamil,1,3,"Vishnu Vishal, Amala Paul, Radha Ravi",A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,0,2h 50m,18,2018,images/Raatchasan/ratsan.jpg
